train_loss,train_acc,train_f1_macro,dev_loss,dev_acc,dev_f1_macro
1.937979403409091,18.484848484848484,0.14473183360744965,1.8920764684677125,35.714285714285715,0.2579210472067615
1.6536892052852745,34.84848484848485,0.2798196354839106,1.2365912914276123,46.42857142857143,0.3595016954150081
1.219182147401752,46.666666666666664,0.40589561358634263,1.0913757801055908,52.142857142857146,0.46331655398753596
1.012314848466353,56.21212121212121,0.5309405436400138,0.9656397879123688,55.714285714285715,0.5135761878564006
0.8400389497930353,63.333333333333336,0.6028248894157482,0.9296906011445182,59.285714285714285,0.5644362216730637
0.7393221479473692,70.0,0.6835236563038141,0.8567756795457431,60.714285714285715,0.5725539796533711
0.5975332419077556,74.54545454545455,0.7349321302623644,0.9705985373684338,63.57142857142857,0.6080345713005065
0.500601103811553,77.87878787878788,0.7725654126027724,0.7165871581860951,67.85714285714286,0.6413759416896102
0.41045930457837654,81.81818181818181,0.8137782471532625,0.655096364234175,75.71428571428571,0.7472608740465884
0.4404525475068526,80.75757575757575,0.8038647292724636,0.5507538015288966,71.42857142857143,0.7068823178579277
0.33688086090665875,88.18181818181819,0.8814598214895923,0.6365553179489715,80.71428571428571,0.793395344531463
0.2953359921773275,88.33333333333333,0.8808641704940781,0.4238881392138345,83.57142857142857,0.8212405125607616
0.23705171635656647,89.84848484848484,0.8979527862940112,0.4879668191208371,82.14285714285714,0.816848826083168
0.255646165934476,90.60606060606061,0.9056385655591129,0.7410753361814256,75.71428571428571,0.7499040090344439
0.208276266040224,92.72727272727273,0.9264700234885398,0.7064011965944831,78.57142857142857,0.7690890041783248
0.18595654079408358,92.87878787878788,0.9291035037617654,0.5882479361857155,81.42857142857143,0.8071935529369437
0.12875121651273785,95.75757575757575,0.9576083562706543,0.5605161540542862,82.14285714285714,0.8085547799134092
0.14385080138842266,95.0,0.9499949780006219,0.5002521024883858,82.14285714285714,0.8209923689017765
0.08940993041703195,97.87878787878788,0.9786991973114854,0.5495528463939471,83.57142857142857,0.8338241660674035
0.07444537769664418,97.72727272727273,0.9772731751709696,0.49211437943657593,85.0,0.8394968465560647
